"asin","date","text","imageUrlList","numberOfHelpful","parentReviewId","rate","reviewId","title","username","verified","keyword","date_raw","year","month","day","year_month","quarter","year_quarter","country"
"B08D67NYTR",2021-06-09,"We love this game. It’s sturdy, easy to set up and so much fun","",0,NA,5,"R1DD0LMVCPEZUC","Love this","chibale wiggins","True","Game","Reviewed in the United States on June 9, 2021",2021,"June","Wednesday","2021/06","Q2",2021 Q2,"the United States"
"B08D67NYTR",2021-03-25,"It’s made out of cheep stuff but it works great just don’t be surprised if your kids break it after you put it together","",8,NA,5,"R356FLN3HPVH7E","Cheep","R. Munroe","True","Game","Reviewed in the United States on March 25, 2021",2021,"March","Thursday","2021/03","Q1",2021 Q1,"the United States"
"B08D67NYTR",2022-02-03,"I already found issues with the build and fan does not work!! Waste of money. Scam for sure.","",0,NA,1,"R251FL2JR9EH49","","Kiki","True","Game","Reviewed in Canada on February 3, 2022",2022,"February","Thursday","2022/02","Q1",2022 Q1,"Canada"
"B08D67NYTR",2021-12-27,"Very short black srews barely hold black panels. Noisy annoying fan. Puck easily fly off the table because surface is too close to the top edge of table. Asked manufacturer for missing screws and replacement of battery cover.","",0,NA,1,"RAFJ3K85CYZHU","","Nabil H.","True","Game","Reviewed in Canada on December 27, 2021",2021,"December","Monday","2021/12","Q4",2021 Q4,"Canada"
"B08D67NYTR",2021-12-26,"Extremely disappointed with this purchase. In first month itself, the electronic scorer stopped working. It was idle for 2 months after that and when we wanted to play again, the motor stopped working completely. This was despite of very light use of this table. Called amazon customer care but they couldn’t provide the refund too. I would never buy again from amazon such expensive products.","",0,NA,1,"R54HJGVM2F630","","Shilpa J.","True","Game","Reviewed in Canada on December 26, 2021",2021,"December","Sunday","2021/12","Q4",2021 Q4,"Canada"
"B08D67NYTR",2021-10-12,"Les enfants adorent. De bonne qualité","",0,NA,5,"R1UDRDLNPKV743","","Brigitte","True","Game","Reviewed in Canada on October 12, 2021",2021,"October","Tuesday","2021/10","Q4",2021 Q4,"Canada"
"B08D67NYTR",2021-10-02,"Very disappointed that one side of the score-sensor does not work. The light is on, the score sometime counts, but most of time doesn't work (the number won't count). I have tried to unplug and plug again, did not help.","",0,NA,2,"R33IOV6KY94ITS","","GN.","True","Game","Reviewed in Canada on October 2, 2021",2021,"October","Saturday","2021/10","Q4",2021 Q4,"Canada"
"B08D67NYTR",2021-09-09,"Love it!","",0,NA,5,"R319VSZ9SZ55FB","","Usman Sadiq","True","Game","Reviewed in Canada on September 9, 2021",2021,"September","Thursday","2021/09","Q3",2021 Q3,"Canada"
"B09NM8BQ3C",2022-04-04,"My 2 year old loves it. It is very easy to put together so even the little ones can build something out of it. Not too small so not a choking hazard! Comes with stickers too to decorate the truck :)","['https://m.media-amazon.com/images/I/81GDdJJ0t4L._SY88.jpg']",0,NA,5,"R1L58WV3T88GU5","Easy to play","James Nicole Cabling","True","Game","Reviewed in the United States on April 4, 2022",2022,"April","Monday","2022/04","Q2",2022 Q2,"the United States"
"B079XX3P4R",2022-04-08,"So funny and clever. Some crude jokes, so might not be suitable for all.","",0,NA,5,"R3V7NKSXSKXPNL","Literally lol","AmazonCABBER","True","Game","Reviewed in the United States on April 8, 2022",2022,"April","Friday","2022/04","Q2",2022 Q2,"the United States"
"B079XX3P4R",2022-04-07,"This movie is really funny and it is one that you can watch multiple times in my opinion. I love all the comedies that Jason Bateman plays in.","",0,NA,5,"R2NKR2E0W0UXFE","I love this movie","Trisha Evanoff","True","Game","Reviewed in the United States on April 7, 2022",2022,"April","Thursday","2022/04","Q2",2022 Q2,"the United States"
"B079XX3P4R",2022-04-03,"Always enjoy watching Jason Bateman's dry sense of humor. Good movie to watch with the family.","",0,NA,5,"R2IGCKBQ6EV1FQ","Fun Movie to Watch","KK","True","Game","Reviewed in the United States on April 3, 2022",2022,"April","Sunday","2022/04","Q2",2022 Q2,"the United States"
"B079XX3P4R",2022-03-28,"Great movie!","",0,NA,5,"R2KCRIOC3SWB40","Laugh out loud!","Butterfly","True","Game","Reviewed in the United States on March 28, 2022",2022,"March","Monday","2022/03","Q1",2022 Q1,"the United States"
"B079XX3P4R",2022-03-26,"I cant say how the movie was..it didnt play!","",0,NA,1,"RVU0VSAEXB91B","Didnt play","Langelamysteriosa","True","Game","Reviewed in the United States on March 26, 2022",2022,"March","Saturday","2022/03","Q1",2022 Q1,"the United States"
"B079XX3P4R",2022-03-23,"Like how easy it is to use prime video and great to stay home and watch movies","",0,NA,5,"R37V757PXPOXBT","Enjoyed the show","C Nelson","True","Game","Reviewed in the United States on March 23, 2022",2022,"March","Wednesday","2022/03","Q1",2022 Q1,"the United States"
"B079XX3P4R",2022-03-21,"Saw this years ago and bought it. I forgot how many times they had to drop the F bomb. Sad they have to put it in movies.","",0,NA,4,"R2DFLG7BDZQ4JB","Exciting but the language was rough.","Donna","True","Game","Reviewed in the United States on March 21, 2022",2022,"March","Monday","2022/03","Q1",2022 Q1,"the United States"
"B079XX3P4R",2022-02-11,"That was a great movie!","",0,NA,5,"R3SGON96V8D9X2","I love it","Leslie Newman","True","Game","Reviewed in the United States on February 11, 2022",2022,"February","Friday","2022/02","Q1",2022 Q1,"the United States"
"B079XX3P4R",2021-12-31,"It was a cute movie. Was expecting a little more with the actors that played in it but it was ok.","",0,NA,4,"R2QAX4GDQD4MWQ","Cute movie","marlee","True","Game","Reviewed in the United States on December 31, 2021",2021,"December","Friday","2021/12","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-12-31,"Can't turn of the narration and the sound keeps going away worst movie I have ever purchased on Amazon","",0,NA,1,"R2VHP4XPIF1NY8","Can't shut of the narrator in the movie","Amazon Customer","True","Game","Reviewed in the United States on December 31, 2021",2021,"December","Friday","2021/12","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-12-30,"Loved this movie! Quick shipping and excellent packaging.","",0,NA,5,"RLBPUSDZVPZJS","DVD Game Night","Kimberly Reeves","True","Game","Reviewed in the United States on December 30, 2021",2021,"December","Thursday","2021/12","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-12-25,"Super funny film to watch with friends!","",0,NA,5,"R17XMMY7IECY23","Love this film!","BEN","True","Game","Reviewed in the United States on December 25, 2021",2021,"December","Saturday","2021/12","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-12-24,"This movie is hilarious","",0,NA,5,"R347K4FGBDP3DA","Good movie","Amazon Customer","True","Game","Reviewed in the United States on December 24, 2021",2021,"December","Friday","2021/12","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-12-18,"Very funny, good banter and funny plot","",0,NA,5,"R1EN0ICAPADXMD","Love this movie","Kyleigh B.","True","Game","Reviewed in the United States on December 18, 2021",2021,"December","Saturday","2021/12","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-12-05,"I can’t believe I didn’t see this when it came out.","",0,NA,5,"R22TM7QK645M8V","Super funny","Eric J","True","Game","Reviewed in the United States on December 5, 2021",2021,"December","Sunday","2021/12","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-11-13,"A good comedy to watch.","",0,NA,5,"R1C161B4TO8CYE","Entertaining Movie","Adnan fahs","True","Game","Reviewed in the United States on November 13, 2021",2021,"November","Saturday","2021/11","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-11-09,"Easily one of my favorite comedy movies!","",0,NA,5,"RONYMW3B99DJ5","Super great movie","Amazon Customer","True","Game","Reviewed in the United States on November 9, 2021",2021,"November","Tuesday","2021/11","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-11-03,"Really good movie. If you want to get tickled pink, then watch this flick. It's great.","",0,NA,5,"R2ZCSY8TAY14JZ","Funny!","Rayray80","True","Game","Reviewed in the United States on November 3, 2021",2021,"November","Wednesday","2021/11","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-30,"How did this hilarious movie sneak by me when it came out? I’m glad it did, though, because I was seriously running out of good options for a Friday Night movie.","",0,NA,5,"R2GAA2KN661N35","This movie was way better than I expected.","A. J. Fischer","True","Game","Reviewed in the United States on October 30, 2021",2021,"October","Saturday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-28,"Love the cast, Non Stop Laughter!!!","",0,NA,5,"R1T9ZFJMHWRAS5","Best Movie Ever!!!","Heidi's jewelry","True","Game","Reviewed in the United States on October 28, 2021",2021,"October","Thursday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-26,"This clock has many desirable characteristics: it's bright, dimmable, large letters which can be seen across a room, customizable features. But it has always run fast, as in about a minute a month. There is no way to adjust it. We use it in our family room where our TV is, and it often caused confusion about program start times. Recently, I decided I had had enough and decided to buy a new clock which actually kept time. Before doing that I decided to reach out to the American Lifetime company to see if I had missed anything or if they had a method to fix. Their suggestion was to reset the clock. When that didn't work, they pointed out to me that the one year warranty had expired July 2021 and the best they could do was offer me a $20 discount on another of their products. Hmmmm. A discount on a product line where one exemplar has not worked.... Strangely, I don't find that appealing.","",0,NA,1,"R76A3ZTSOUVHL","This product does not keep time","pnc","True","Game","Reviewed in the United States on October 26, 2021",2021,"October","Tuesday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-24,"“Take care of Bastien…”","",0,NA,5,"R2CLO2QPFN62UF","Hilarious!","Juan","True","Game","Reviewed in the United States on October 24, 2021",2021,"October","Sunday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-23,"Enjoyable Movie","",0,NA,4,"R1ER1OTIVIMEHU","Enjoyable Movie","Joseph C Smith Jr","True","Game","Reviewed in the United States on October 23, 2021",2021,"October","Saturday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-19,"I just love Jason Bateman. He has that dry humor that makes him very relatable. And Rachael McAdams is a gem. A great date night movie!!","",0,NA,5,"R2Q7EIG7CKP9HR","Great movie","Samantha","True","Game","Reviewed in the United States on October 19, 2021",2021,"October","Tuesday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-18,"It was stunning to see such a terrible production. In a society suffering from rampant suicide, it was jaw dropping to see a woman put a loaded gun in her mouth for humor. Just a terrible waste of talent and $2.99.","",0,NA,1,"R1EZZPXLHQODP6","What is the humor of watching a woman put a loaded gun in her mouth?","LG Ripdmeov","True","Game","Reviewed in the United States on October 18, 2021",2021,"October","Monday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-11,"loved it","",0,NA,5,"R7YRIRIHE7LTL","loved it","Rajesh reddy","True","Game","Reviewed in the United States on October 11, 2021",2021,"October","Monday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-09,"I started watching this on a plane and was not able to finish watching so I rented this since I had Amazon Prime.","",0,NA,5,"RSPK2YNXOK0ME","Best Mystery Suspense Movie Seen In A While","slimer","True","Game","Reviewed in the United States on October 9, 2021",2021,"October","Saturday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-07,"Excellent movie, plot, characters and dialogue!","",0,NA,5,"R3N6YXHU4E6QHD","Awesome movie!","LoveAll","False","Game","Reviewed in the United States on October 7, 2021",2021,"October","Thursday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-10-03,"I'm not a huge comedy fan but this movie had me cracking up. It's got great characters and story.","",0,NA,5,"RIFFHW5JDAM4J","So fun","Amil","True","Game","Reviewed in the United States on October 3, 2021",2021,"October","Sunday","2021/10","Q4",2021 Q4,"the United States"
"B079XX3P4R",2021-09-16,"Bought as gift for family member.","",0,NA,5,"R1FI0M8T6TGT54","Fun","Alan B Sandige","True","Game","Reviewed in the United States on September 16, 2021",2021,"September","Thursday","2021/09","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-08-27,"Absolutely hysterical movie that snowballs into a fun mystery thriller with lots of twists and turns.","",0,NA,5,"R1NIZJOND90V5Y","Hysterical","Sarah Cramer","True","Game","Reviewed in the United States on August 27, 2021",2021,"August","Friday","2021/08","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-08-25,"How many thousands of movies have you seen like this? There are enough fresh twists and gags to draw out some sincere belly laughs, but 80% of the movie follows the formula of every movie you've ever seen. Standout performance by the cop.","",0,NA,3,"R1L6171YFWYU5R","Some laugh out loud, mostly tired Hollywood","Z. Shaw","True","Game","Reviewed in the United States on August 25, 2021",2021,"August","Wednesday","2021/08","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-08-21,"We laughed through the entire movie","",0,NA,4,"R34SN0U650SKA0","Hilarious","chase lampert","True","Game","Reviewed in the United States on August 21, 2021",2021,"August","Saturday","2021/08","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-08-06,"Funny movie. Just didn’t have time to watch it!","",0,NA,5,"R29BDP2BN864XH","Funny","Cynthia Johnson","True","Game","Reviewed in the United States on August 6, 2021",2021,"August","Friday","2021/08","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-08-03,"Great movie, so funny.","",0,NA,5,"RE5JKSU503SQT","Super Funny","latinavaquerita","True","Game","Reviewed in the United States on August 3, 2021",2021,"August","Tuesday","2021/08","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-30,"I didn’t think it was a very high quality movie but it did entertain me. It was definitely cheesy…practically making fun of its own cheese…so if you’re into that, then this might be your cup of tea.","",0,NA,3,"R1DRW0PQL50D0A","Purely entertainment.","Kitto","True","Game","Reviewed in the United States on July 30, 2021",2021,"July","Friday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-29,"Like it","",0,NA,4,"RUD0TN71VF239","Good","Paul Buchanan","True","Game","Reviewed in the United States on July 29, 2021",2021,"July","Thursday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-27,"Works hard to keep the laughs and surprises coming!","",0,NA,5,"R39WIC8KUZGQ5U","Hilarious","Josh M","True","Game","Reviewed in the United States on July 27, 2021",2021,"July","Tuesday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-23,"This is one of our favorite movies so I bought it after renting it a couple of times. There are some hilarious parts in here which still cracks me up even after watching it several times.","",0,NA,5,"RHPY1N32EEEAT","Great movie, loved it","Trials rider","True","Game","Reviewed in the United States on July 23, 2021",2021,"July","Friday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-17,"Such a mediocre movie. Doesn't do Jason justice. This is not a great film. Rent something else.","",0,NA,2,"R13YB1H8C45U4E","Why Jason Why?","commoncents","True","Game","Reviewed in the United States on July 17, 2021",2021,"July","Saturday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-17,"Funny","",0,NA,5,"R3OFDZTEQUPRI7","Funny","Charles Murphy","True","Game","Reviewed in the United States on July 17, 2021",2021,"July","Saturday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-17,"This is a comedy classic. This is worth buying to watch over and over again.","",0,NA,5,"RU984N0ONCHTQ","Sooooo Funnnny","John Wesley Mosley III","True","Game","Reviewed in the United States on July 17, 2021",2021,"July","Saturday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-16,"Best. Ending. EVER!","",0,NA,5,"ROMSXGGS08VYJ","WOW!","Monet","True","Game","Reviewed in the United States on July 16, 2021",2021,"July","Friday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-10,"Such a fun movie that doesn’t take itself too seriously. Great popcorn flick.","",0,NA,5,"R17VOWS8YTO94Z","Fun movie","A Gunn","True","Game","Reviewed in the United States on July 10, 2021",2021,"July","Saturday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-09,"Didn't think I'd love this movie so much but it's so damn funny.... great acting, writing, editing, timing.... just... *chef's kiss*","",0,NA,5,"R2XJHMDA7PPDOX","SURPRISE!","Ink&FlyLine","True","Game","Reviewed in the United States on July 9, 2021",2021,"July","Friday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-04,"Hilarious","",0,NA,5,"R2AYBZ0LCMJ064","Hilarious","Denise","True","Game","Reviewed in the United States on July 4, 2021",2021,"July","Sunday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-02,"So funny. I need laughter in my life!","",0,NA,5,"RAKCKNYPEF89G","Laughter","rosalyn jones","True","Game","Reviewed in the United States on July 2, 2021",2021,"July","Friday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-07-01,"One of my favorite movies","",0,NA,5,"R24EWN9C0WZEZZ","Movie","Deanna Hurd","True","Game","Reviewed in the United States on July 1, 2021",2021,"July","Thursday","2021/07","Q3",2021 Q3,"the United States"
"B079XX3P4R",2021-06-28,"This underrated comedy is fun. Lots of twists and turns.","",0,NA,5,"RQ56SYLNHLC8U","Hilarious!","GPsy","True","Game","Reviewed in the United States on June 28, 2021",2021,"June","Monday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-20,"It was so funny, great fun movie","",0,NA,5,"R3L6H0JFIR380I","Funny","Robert Austin","True","Game","Reviewed in the United States on June 20, 2021",2021,"June","Sunday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-20,"Firstly, don't watch the studio ""Preview"" it gives away some of the best gags in the film. I don't know why they do that. This movie is best watched ""cold"" as it were to keep the surprises intact. Recently saw his movie with old friends. We were searching for something other than an actual Hallmark movie (My friend's cousin is addicted to them. No judgement. We were ready for something a bit MORE) and happened upon this. A friend had seen it once and gave it a strong vote. I had never heard of it. Sometimes you go into a movie blind and you just are so entertained you can't believe it is really happening. That was this movie. Twists and turns that are surprising and hilarious and a loving couple devoted to each other and to winning. Jason Bateman was perfect, the female lead (sadly spacing her name, she's famous for a reason) also incredible, the other couples in game night are charming. Watch it, you won't be sorry. Truth, I kind of envy you for not having seen it yet!","",0,NA,5,"R1P6FERDPMXJ9V","Hilarious and surprising","JerseyTomato","False","Game","Reviewed in the United States on June 20, 2021",2021,"June","Sunday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-19,"This was such a bad movie. Ugh","",0,NA,1,"R2J8IO8GTS2WSR","Not worth the price to rent","Its My Opinion","True","Game","Reviewed in the United States on June 19, 2021",2021,"June","Saturday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-19,"Loved that movie","",0,NA,5,"R2JDDRYXRCPXA6","great fun relatable movie. Bateman<U+0001F937><U+2640><U+FE0F>the best","Nancy Hart","True","Game","Reviewed in the United States on June 19, 2021",2021,"June","Saturday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-19,"I can't believe I didn't know about this movie before now. It's so funny and suspenseful. Love the entire cast!","",0,NA,5,"R42TTLZBYRRSC","So good!","Amazon Customer","True","Game","Reviewed in the United States on June 19, 2021",2021,"June","Saturday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-17,"Long drawn out movie","",0,NA,2,"RFC5IJEGI2URI","Too long","Migdalia Quiroga","True","Game","Reviewed in the United States on June 17, 2021",2021,"June","Thursday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-17,"Great flick, well done, subtle at times, but always funny.","",0,NA,4,"RNVK902Q6VXGK","SUPER FUN!!","anon a mouse","True","Game","Reviewed in the United States on June 17, 2021",2021,"June","Thursday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-13,"A really interesting take on how game nights should be. I enjoyed it thoroughly.","",0,NA,5,"R2G3U34YUVZGSR","Oh my god this had me in stitches!","Mike Y","True","Game","Reviewed in the United States on June 13, 2021",2021,"June","Sunday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-10,"Super fun family night movie.","",0,NA,5,"RDZZ9YT5UMTHS","Lighthearted and fun to watch","shirley dalien-smith","True","Game","Reviewed in the United States on June 10, 2021",2021,"June","Thursday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-09,"This movie is so fun to watch and pretty funny, something good to turn your brain off and relax with","",0,NA,4,"R1YTJ1C3UIZ0H0","Entertaining","Ariel F.","True","Game","Reviewed in the United States on June 9, 2021",2021,"June","Wednesday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-08,"I wasn't bored for a moment. Lots of plot twists and turns but kept track of every nuance. A rare fun fun fun one.","",0,NA,5,"R2LGRWLIUJEVRL","Fun movie","L.K.","True","Game","Reviewed in the United States on June 8, 2021",2021,"June","Tuesday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-07,"Loved this movie! Hilarious and entertaining. Worth the watch!","",0,NA,5,"R1F4O467CX5YEU","Hilarious!","Sky Rutherford","True","Game","Reviewed in the United States on June 7, 2021",2021,"June","Monday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-07,"Is it only me who finds this movie annoyingly woody-allenish? And not in a good way. Financially comfortable people obsessed with themselves to the point that they become totally disengaged from reality. Each and every one of them is annoying to the point that who cares what happens to them. Snippets of funny conversations merits the three stars.","",0,NA,3,"R27COTK8EPEJGV","The Ghost of Woody Allen","Zsuzsa","True","Game","Reviewed in the United States on June 7, 2021",2021,"June","Monday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-05,"Fun, great characters, plot twists, and more.","",0,NA,5,"RH8HI4O6NXSML","Most enjoyable movie I have watched in a long time.","NewCreature","False","Game","Reviewed in the United States on June 5, 2021",2021,"June","Saturday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-04,"Just ok movie, great acting","",0,NA,4,"R1W7E56T3SS1RI","Great acting","Derys","True","Game","Reviewed in the United States on June 4, 2021",2021,"June","Friday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-06-03,"Top ten most enjoyable movies of all time. Rented five times. In love with Rachel McAdams. She should dump that guy snd come with me","",0,NA,5,"R2HVW712J92QZY","A+ cute movie. Rate 5 stars","UnderStructureRepair","True","Game","Reviewed in the United States on June 3, 2021",2021,"June","Thursday","2021/06","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-05-31,"Love","",0,NA,5,"R1RHCPJIHMVGH3","Love","Trevor Mackin","True","Game","Reviewed in the United States on May 31, 2021",2021,"May","Monday","2021/05","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-05-30,"The scene in the parking lot when Rachel MacAdams is using mini-mart products to try to assist her husband (Jason Bateman) after accidentally shooting him in the arm is going to be become LEGENDARY. This movie is just a whole lot of fun and well written. Great for a night when you just want to laugh and don't want to think about all the stuff that is weighing you down.","",0,NA,5,"R2AMUQU92FCASV","Hilarious and well written","Sherbrook","True","Game","Reviewed in the United States on May 30, 2021",2021,"May","Sunday","2021/05","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-05-30,"Great","",0,NA,5,"RNBV8FB8NVEGO","Great","Joe Priole","True","Game","Reviewed in the United States on May 30, 2021",2021,"May","Sunday","2021/05","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-05-30,"Funny","",0,NA,4,"R27KTQT8DUWTTM","Need a laugh","Mina","True","Game","Reviewed in the United States on May 30, 2021",2021,"May","Sunday","2021/05","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-05-22,"So much fun, so many twists, so many laughs. Get ready to hold your sides and fall on the floor!","",0,NA,5,"R2QGMQXHJPE8W7","Hilarious...start to finish!","Len the Voracious Reader","True","Game","Reviewed in the United States on May 22, 2021",2021,"May","Saturday","2021/05","Q2",2021 Q2,"the United States"
"B079XX3P4R",2021-05-18,"This is so funny a little dark and adventurous would definitely recommend","",0,NA,5,"R2D5JZX4M23SZ7","Great watch","Princess","True","Game","Reviewed in the United States on May 18, 2021",2021,"May","Tuesday","2021/05","Q2",2021 Q2,"the United States"
